Campaign_ID,Platform,Ad_Spend,Impressions,Clicks,Conversions,Revenue,Region,Age_Group,Start_Date,End_Date,Campaign_Type,Targeted_Location,CTR,Conversion_Rate,ROI,Content Production (45%),Distribution (35%),Analytics (20%)
170,Instagram,11297,449586,21905,1816,50274,Europe,45-54,8/6/23,8/14/23,Conversion,London,4.87%,8%,345%,5563.223546,4255.707316,1478.069138
171,Instagram,17756,89128,47875,1687,66368,North America,25-34,4/23/23,5/18/23,Conversion,Chicago,53.71%,4%,274%,5226.546461,9561.381944,2968.071595
172,Facebook,1925,59825,27414,149,30568,Africa,35-44,2/2/23,2/4/23,Conversion,Lagos,45.82%,1%,1488%,851.2433327,1129.826991,-56.07032404
173,TikTok,18171,416800,28806,725,12581,Europe,55+,3/24/23,3/30/23,Awareness,Madrid,6.91%,3%,-31%,8776.711111,10023.88324,-629.5943521
174,Instagram,17277,30855,40290,442,58184,Asia,18-24,10/18/23,10/30/23,Awareness,Tokyo,130.58%,1%,237%,6727.11586,7730.553893,2819.330247
175,Facebook,18095,700086,8874,1855,51188,Asia,45-54,9/1/23,9/23/23,Lead Generation,Shanghai,1.27%,21%,183%,5725.821601,9642.591271,2726.587129
176,Facebook,15060,561489,30348,563,88284,South America,25-34,3/7/23,3/12/23,Lead Generation,São Paulo,5.40%,2%,486%,7342.846566,8719.28427,-1002.130836
177,TikTok,1652,496404,19993,453,5434,Asia,35-44,12/17/23,12/30/23,Conversion,Seoul,4.03%,2%,229%,783.4873375,812.4609975,56.05166499
178,LinkedIn,15024,534942,5742,509,10182,Europe,18-24,5/12/23,6/4/23,Lead Generation,London,1.07%,9%,-32%,5123.729548,4948.212763,4952.057689
179,Instagram,16146,569728,11280,1557,18732,Asia,35-44,8/8/23,9/6/23,Conversion,Shanghai,1.98%,14%,16%,7527.082645,7253.69663,1365.220725
180,TikTok,1076,427930,30587,1534,5680,North America,35-44,8/3/23,8/26/23,Awareness,Los Angeles,7.15%,5%,428%,481.916577,518.2656054,75.81781763
181,Facebook,10698,963365,19344,1862,81027,North America,55+,2/9/23,3/4/23,Awareness,Toronto,2.01%,10%,657%,4434.807712,5276.088583,987.1037046
182,LinkedIn,4761,105068,11410,413,78717,South America,35-44,11/16/23,11/23/23,Conversion,Bogotá,10.86%,4%,1553%,1240.161711,1814.377266,1706.461023
183,TikTok,11744,654491,29718,1215,42700,Asia,35-44,12/16/23,12/27/23,Awareness,Tokyo,4.54%,4%,264%,3154.296778,4856.839563,3732.863659
184,TikTok,10152,164079,31606,1718,97842,Europe,18-24,12/30/23,1/24/24,Lead Generation,London,19.26%,5%,864%,2041.009045,4272.983963,3838.006992
185,TikTok,6007,196600,28449,1952,49341,South America,45-54,12/28/23,1/18/24,Conversion,São Paulo,14.47%,7%,721%,1945.877602,2950.614526,1110.507872
186,Instagram,18933,501629,16977,1543,79796,South America,35-44,7/11/23,7/18/23,Awareness,Buenos Aires,3.38%,9%,321%,7738.081411,10684.31133,510.6072595
187,Facebook,7998,270260,10554,825,45943,South America,45-54,10/15/23,11/9/23,Awareness,Lima,3.91%,8%,474%,1746.009584,4375.544545,1876.445871
188,Facebook,1194,243194,36163,1846,94505,Africa,45-54,6/1/23,6/22/23,Lead Generation,Cairo,14.87%,5%,7815%,515.0537915,669.9147623,9.031446174
189,TikTok,8697,593685,20462,570,16192,Europe,45-54,12/23/23,1/19/24,Conversion,Paris,3.45%,3%,86%,3345.697323,4246.356362,1104.946315
190,TikTok,13509,26864,6464,1349,60643,South America,25-34,1/13/23,1/25/23,Lead Generation,São Paulo,24.06%,21%,349%,3421.261013,4826.25184,5261.487147
191,TikTok,16533,911903,22697,1825,22989,Africa,45-54,2/27/23,3/23/23,Conversion,Cape Town,2.49%,8%,39%,4466.122261,8001.625537,4065.252203
192,TikTok,1214,842316,6723,1989,97643,Asia,55+,8/30/23,9/8/23,Awareness,Tokyo,0.80%,30%,7943%,442.9038409,671.0816594,100.0144997
193,Facebook,2755,527477,14559,512,1397,North America,25-34,5/15/23,5/17/23,Awareness,Los Angeles,2.76%,4%,-49%,1193.530529,1009.960197,551.5092737
194,LinkedIn,18267,598194,21658,888,95767,North America,45-54,3/20/23,4/8/23,Conversion,Toronto,3.62%,4%,424%,6869.047842,7210.735085,4187.217072
195,TikTok,16156,515580,3313,1839,61213,North America,45-54,9/4/23,9/18/23,Awareness,Los Angeles,0.64%,56%,279%,6602.299339,6777.647041,2776.05362
196,LinkedIn,12353,501267,24837,1552,95372,North America,35-44,11/30/23,12/28/23,Lead Generation,New York,4.95%,6%,672%,5372.349218,5178.973716,1801.677066
197,Instagram,2916,702306,29520,787,57020,Africa,45-54,7/8/23,8/5/23,Conversion,Nairobi,4.20%,3%,1855%,1221.32574,1305.980307,388.6939528
198,Instagram,12763,421097,49830,1949,297,South America,55+,5/17/23,6/16/23,Awareness,São Paulo,11.83%,4%,-98%,5509.353084,7345.061762,-91.41484589
199,Twitter,13674,704495,24439,462,98500,South America,35-44,12/3/23,12/9/23,Lead Generation,Lima,3.47%,2%,620%,2929.591745,6634.916201,4109.492054
200,LinkedIn,18048,573622,36244,613,49814,Africa,55+,10/20/23,11/5/23,Lead Generation,Nairobi,6.32%,2%,176%,7629.969707,9030.109196,1387.921097
201,Facebook,9544,109169,15799,1891,17765,Asia,18-24,1/4/23,1/30/23,Conversion,Seoul,14.47%,12%,86%,3330.986621,3827.265671,2385.747709
202,Twitter,3022,66374,10168,1290,26059,South America,35-44,6/1/23,6/17/23,Conversion,Lima,15.32%,13%,762%,1426.418727,1116.023082,479.5581909
203,TikTok,4049,722393,13097,610,87641,Asia,25-34,10/7/23,10/14/23,Lead Generation,Seoul,1.81%,5%,2065%,1938.538678,1839.084351,271.3769707
204,Facebook,11703,904083,20295,1162,30769,Africa,25-34,11/25/23,12/14/23,Awareness,Cape Town,2.24%,6%,163%,3076.888303,3556.399697,5069.712
205,LinkedIn,13342,255384,25190,1847,45029,Europe,55+,12/31/23,1/29/24,Lead Generation,Madrid,9.86%,7%,237%,5685.846539,7183.226679,472.9267819
206,LinkedIn,12073,158049,25090,1812,15530,Europe,18-24,1/21/23,2/13/23,Lead Generation,London,15.87%,7%,29%,5932.968068,4271.805976,1868.225957
207,Facebook,4606,605831,38954,1440,24982,Asia,55+,7/27/23,8/16/23,Awareness,Seoul,6.43%,4%,442%,2028.527227,1972.842876,604.6298975
208,TikTok,10551,57581,18602,263,16800,Europe,35-44,12/11/23,1/1/24,Conversion,Berlin,32.31%,1%,59%,3419.264763,6310.36583,821.3694069
209,TikTok,4057,426324,29197,1886,417,South America,55+,3/29/23,4/24/23,Lead Generation,São Paulo,6.85%,6%,-90%,1981.716615,1806.808512,268.4748739
210,Instagram,16635,870873,22491,478,6830,Africa,18-24,7/16/23,8/5/23,Conversion,Cape Town,2.58%,2%,-59%,6468.919504,9819.997858,346.082638
211,Twitter,4149,518792,43953,1015,77242,Asia,55+,3/26/23,3/28/23,Lead Generation,Tokyo,8.47%,2%,1762%,1283.974054,2120.807528,744.2184183
212,Twitter,9843,446944,24807,498,75146,North America,18-24,8/14/23,9/11/23,Lead Generation,New York,5.55%,2%,663%,3860.57827,4780.803239,1201.618491
213,Twitter,9489,75285,3549,361,47291,North America,55+,7/27/23,8/8/23,Conversion,New York,4.71%,10%,398%,2816.938952,3073.331906,3598.729143
214,TikTok,18711,648531,31042,260,91658,North America,45-54,11/21/23,12/8/23,Conversion,Toronto,4.79%,1%,390%,7333.961415,6492.178783,4884.859802
215,TikTok,3878,158592,49718,1516,44864,Europe,35-44,4/14/23,4/16/23,Lead Generation,Paris,31.35%,3%,1057%,1136.888647,1533.411669,1207.699684
216,Facebook,7641,431572,36376,414,46198,North America,55+,5/17/23,6/5/23,Awareness,Chicago,8.43%,1%,505%,3363.472965,3008.990135,1268.536899
217,Facebook,12459,164673,49247,1026,73399,North America,18-24,10/9/23,10/28/23,Conversion,Toronto,29.91%,2%,489%,2744.221491,3854.016478,5860.762032
218,LinkedIn,8142,636099,31444,1995,82487,Europe,45-54,12/20/23,12/26/23,Lead Generation,Paris,4.94%,6%,913%,3853.030978,3469.053122,819.9159001
219,TikTok,10884,605104,44385,1,49815,Europe,35-44,10/7/23,10/22/23,Lead Generation,Berlin,7.34%,0%,358%,5334.740123,5220.123102,329.1367745
220,Facebook,12803,273097,18342,1850,75789,Europe,35-44,2/3/23,2/25/23,Awareness,Berlin,6.72%,10%,492%,5402.463472,6095.155692,1305.380837
221,TikTok,7713,196486,34686,1129,48744,Africa,18-24,7/18/23,8/1/23,Conversion,Cairo,17.65%,3%,532%,2681.62995,4435.694188,595.6758613
222,Instagram,16956,227480,31743,1787,27903,North America,35-44,1/1/24,1/13/24,Lead Generation,Los Angeles,13.95%,6%,65%,7708.216014,8968.995957,278.7880287
223,LinkedIn,2409,69818,7208,1629,72962,Europe,45-54,10/23/23,10/25/23,Conversion,Berlin,10.32%,23%,2929%,501.8148097,1232.102225,675.0829654
224,Facebook,10062,88561,9322,1721,58901,Europe,25-34,8/20/23,8/25/23,Lead Generation,Berlin,10.53%,18%,485%,2182.552473,4575.001883,3304.445644
225,Twitter,12259,850221,11419,1216,95873,Europe,45-54,11/7/23,11/19/23,Awareness,Madrid,1.34%,11%,682%,4287.141555,4897.022608,3074.835837
226,Twitter,2858,833599,31245,1651,24632,Europe,25-34,3/12/23,4/3/23,Lead Generation,Paris,3.75%,5%,762%,1173.384063,1031.121715,653.4942229
227,Twitter,1765,477142,1765,885,15954,Asia,18-24,10/17/23,11/13/23,Awareness,Mumbai,0.37%,50%,804%,402.2213534,1031.030755,331.747892
228,Facebook,6234,811456,49473,121,85933,Asia,55+,3/18/23,4/5/23,Lead Generation,Mumbai,6.10%,0%,1278%,2436.859693,2428.684745,1368.455562
229,Instagram,8092,563093,10929,1513,91458,Europe,35-44,7/12/23,8/9/23,Lead Generation,London,1.94%,14%,1030%,2587.159606,4286.540004,1218.30039
230,Facebook,8581,915440,45194,1014,57109,North America,55+,3/18/23,3/27/23,Awareness,Chicago,4.94%,2%,566%,3538.099557,4497.834291,545.0661522
231,LinkedIn,4982,279887,26537,239,48763,Europe,25-34,10/29/23,11/7/23,Lead Generation,Paris,9.48%,1%,879%,1917.364746,2066.379433,998.255821
232,Facebook,19978,874445,4990,265,33501,Europe,55+,6/4/23,6/28/23,Awareness,Berlin,0.57%,5%,68%,7303.276867,8751.509115,3923.214018
233,Twitter,1502,470249,18431,1236,48351,Europe,18-24,5/14/23,6/10/23,Conversion,Berlin,3.92%,7%,3119%,503.7899206,744.2478431,253.9622363
234,Twitter,19478,641079,20094,1692,15376,Asia,35-44,4/24/23,4/25/23,Awareness,Tokyo,3.13%,8%,-21%,4006.273371,8750.105242,6721.621387
235,LinkedIn,2197,960003,18055,96,12960,South America,45-54,9/28/23,10/3/23,Lead Generation,São Paulo,1.88%,1%,490%,990.7721522,901.4033241,304.8245237
236,Twitter,3699,358127,6347,76,53843,Africa,18-24,1/17/23,2/2/23,Conversion,Nairobi,1.77%,1%,1356%,1127.05356,1379.553412,1192.393028
237,Instagram,15268,442288,13431,1705,66947,South America,55+,4/15/23,4/19/23,Lead Generation,Bogotá,3.04%,13%,338%,6315.860519,6817.77134,2134.36814
238,Facebook,12325,412734,25855,420,14605,North America,25-34,12/9/23,12/10/23,Awareness,Los Angeles,6.26%,2%,18%,3823.174609,4556.953423,3944.871969
239,Twitter,19799,712951,18557,482,93346,Europe,18-24,4/21/23,5/13/23,Awareness,Berlin,2.60%,3%,371%,5533.207328,11847.85368,2417.938988
240,Facebook,2807,46877,17909,933,37064,Europe,45-54,8/15/23,8/21/23,Awareness,Berlin,38.20%,5%,1220%,746.7503327,1364.961484,695.2881831
241,Facebook,14704,702918,13319,1850,64759,South America,55+,10/1/23,10/10/23,Awareness,Buenos Aires,1.89%,14%,340%,5302.015978,5719.88209,3682.101932
242,Twitter,19543,90677,15559,1051,52212,Europe,18-24,7/30/23,8/26/23,Lead Generation,Madrid,17.16%,7%,167%,9587.319461,7551.09529,2404.585249
243,TikTok,6551,675730,9042,242,54916,South America,18-24,8/16/23,8/23/23,Awareness,Buenos Aires,1.34%,3%,738%,2099.787673,3230.293453,1220.918873
244,Instagram,12962,707680,27990,1187,95340,South America,25-34,11/7/23,11/24/23,Awareness,Buenos Aires,3.96%,4%,636%,3515.873807,4001.956071,5444.170122
245,TikTok,10708,645577,27299,23,7488,South America,35-44,1/1/24,1/17/24,Awareness,São Paulo,4.23%,0%,-30%,4880.274203,6252.779441,-425.0536439
246,LinkedIn,2443,421026,41882,310,93629,North America,35-44,11/10/23,11/18/23,Lead Generation,Toronto,9.95%,1%,3733%,1063.779888,1360.578029,18.64208307
247,LinkedIn,17195,848043,26457,235,4764,Europe,25-34,12/4/23,12/15/23,Conversion,London,3.12%,1%,-72%,5716.209031,7724.147244,3754.643725
248,TikTok,10722,553229,16201,1082,44672,South America,35-44,3/30/23,4/22/23,Awareness,Bogotá,2.93%,7%,317%,3070.816892,5096.962939,2554.220169
249,LinkedIn,1810,643896,22181,538,99361,South America,18-24,8/30/23,9/3/23,Awareness,Bogotá,3.44%,2%,5390%,612.558033,996.1439785,201.2979885
250,Instagram,7615,729600,22933,982,8898,South America,55+,7/8/23,7/24/23,Awareness,São Paulo,3.14%,4%,17%,3602.868219,3745.480863,266.6509182
251,Facebook,10188,525306,2411,1879,62728,North America,18-24,11/8/23,11/28/23,Conversion,Toronto,0.46%,78%,516%,3053.75798,5626.755615,1507.486406
252,Instagram,744,801666,20285,992,72618,Africa,55+,7/5/23,7/26/23,Conversion,Nairobi,2.53%,5%,9660%,307.8311205,415.1066773,21.06220216
253,LinkedIn,15105,901769,7036,1633,99612,Europe,35-44,7/19/23,8/10/23,Lead Generation,Paris,0.78%,23%,559%,5896.531925,4821.296779,4387.171296
254,Instagram,16550,244368,41167,1098,75280,Asia,55+,12/27/23,12/31/23,Lead Generation,Seoul,16.85%,3%,355%,7083.387399,6777.895707,2688.716893
255,LinkedIn,5855,66160,11819,149,9699,North America,55+,3/20/23,4/7/23,Conversion,New York,17.86%,1%,66%,2106.174643,3258.088651,490.7367057
256,TikTok,8608,258405,587,384,17457,Africa,35-44,5/9/23,5/14/23,Conversion,Cape Town,0.23%,65%,103%,3790.514234,3425.888913,1391.596854
257,LinkedIn,12201,883325,13455,1347,17988,Europe,35-44,12/18/23,1/5/24,Lead Generation,Paris,1.52%,10%,47%,6036.847843,4533.459861,1630.692296
258,LinkedIn,5944,747312,42955,981,38490,South America,35-44,6/9/23,7/3/23,Lead Generation,Lima,5.75%,2%,548%,2024.410608,2435.324969,1484.264423
259,Twitter,11691,485920,13858,396,25046,Asia,35-44,1/13/23,2/12/23,Awareness,Shanghai,2.85%,3%,114%,3188.065713,6369.937161,2132.997126
260,Facebook,13069,652022,38851,644,1746,North America,55+,6/28/23,7/28/23,Lead Generation,Los Angeles,5.96%,2%,-87%,4783.161156,6435.188876,1850.649968
261,Facebook,2087,60888,4453,1847,51618,Africa,25-34,1/30/23,2/18/23,Lead Generation,Lagos,7.31%,41%,2373%,758.4094566,969.8685948,358.7219485
262,Twitter,3378,798668,29288,975,99464,North America,35-44,6/7/23,6/30/23,Awareness,Toronto,3.67%,3%,2844%,1160.401002,1895.462796,322.1362025
263,Instagram,8535,36333,32973,722,86319,Europe,25-34,12/30/23,1/19/24,Lead Generation,Madrid,90.75%,2%,911%,3145.658183,4726.362967,662.9788497
264,TikTok,2619,729779,25216,1707,77324,Europe,25-34,5/8/23,6/4/23,Conversion,Paris,3.46%,7%,2852%,617.5247799,800.6428097,1200.83241
265,Twitter,9220,949301,48985,1569,46732,Africa,35-44,1/29/23,2/24/23,Awareness,Cape Town,5.16%,3%,407%,2127.143765,4080.80716,3012.049075
266,Instagram,12675,8184,28970,995,77175,Europe,55+,2/5/23,2/6/23,Conversion,Berlin,353.98%,3%,509%,5044.121002,5513.625863,2117.253135
267,Facebook,6711,53475,29966,1458,5423,Africa,55+,7/11/23,7/17/23,Conversion,Cape Town,56.04%,5%,-19%,2619.775006,2429.943224,1661.28177
268,Instagram,9378,134098,21625,1762,59325,South America,45-54,12/7/23,1/6/24,Lead Generation,São Paulo,16.13%,8%,533%,4402.345084,3562.13739,1413.517526
269,LinkedIn,1068,823663,25372,609,65942,Asia,45-54,7/27/23,8/1/23,Awareness,Tokyo,3.08%,2%,6074%,239.3268521,580.958659,247.7144889
270,TikTok,18375,272875,25683,1592,68108,Africa,55+,2/17/23,2/24/23,Lead Generation,Cape Town,9.41%,6%,271%,7777.567171,9774.015237,823.4175921
271,LinkedIn,7317,928673,45335,517,32751,North America,55+,8/22/23,8/24/23,Lead Generation,New York,4.88%,1%,348%,2931.50849,2497.786135,1887.705375
272,Twitter,3132,926830,15978,818,40316,South America,18-24,3/3/23,3/10/23,Lead Generation,São Paulo,1.72%,5%,1187%,1054.68234,1001.02811,1076.28955
273,Instagram,4875,810064,7689,42,53052,Africa,55+,1/6/23,1/15/23,Lead Generation,Cairo,0.95%,1%,988%,1692.279511,1773.932146,1408.788343
274,TikTok,12336,229296,35662,280,84911,Africa,55+,10/18/23,10/24/23,Lead Generation,Lagos,15.55%,1%,588%,5331.460206,4441.229482,2563.310312
275,LinkedIn,8888,851400,28775,64,543,Europe,35-44,4/6/23,4/26/23,Lead Generation,Berlin,3.38%,0%,-94%,3109.680964,3474.216438,2304.102598
276,Twitter,2992,354226,4515,94,44974,Europe,25-34,5/8/23,5/13/23,Conversion,Berlin,1.27%,2%,1403%,1040.93869,1325.038276,626.0230337
277,LinkedIn,3129,538416,36749,39,82535,Asia,55+,1/19/23,1/20/23,Awareness,Mumbai,6.83%,0%,2538%,963.2911707,1046.130574,1119.578256
278,TikTok,6730,756023,40107,1300,74559,North America,45-54,7/20/23,8/14/23,Lead Generation,New York,5.30%,3%,1008%,1450.412338,2832.250924,2447.336737
279,Twitter,4563,170539,8834,886,3150,Europe,25-34,7/11/23,7/30/23,Awareness,Madrid,5.18%,10%,-31%,1960.665474,1551.977022,1050.357504
280,Twitter,11410,264329,48111,976,11152,Europe,55+,1/15/23,2/11/23,Lead Generation,London,18.20%,2%,-2%,2959.655419,6805.015534,1645.329046
281,Instagram,9491,94538,26828,74,2192,North America,25-34,11/5/23,11/30/23,Awareness,Los Angeles,28.38%,0%,-77%,2929.403847,3805.997055,2755.599098
282,Instagram,13195,402929,10289,752,34267,Asia,45-54,6/5/23,6/19/23,Conversion,Tokyo,2.55%,7%,160%,5212.119568,6245.913503,1736.96693
283,Facebook,12733,818619,39903,1698,27771,Africa,45-54,11/10/23,11/13/23,Awareness,Cairo,4.87%,4%,118%,4849.40805,7451.233201,432.3587494
284,TikTok,3169,951360,1661,914,64544,North America,55+,10/30/23,11/25/23,Awareness,New York,0.17%,55%,1937%,1554.372629,1639.73961,-25.11223899
285,LinkedIn,17816,365605,36168,95,90588,Europe,35-44,4/25/23,5/8/23,Conversion,London,9.89%,0%,408%,6294.862289,5952.392728,5568.744984
286,Twitter,8060,293427,19893,1818,35209,Africa,25-34,11/7/23,11/29/23,Lead Generation,Cairo,6.78%,9%,337%,3047.404901,4247.468393,765.1267061
287,Twitter,628,518433,16465,56,55128,South America,55+,6/9/23,6/28/23,Awareness,Buenos Aires,3.18%,0%,8678%,310.9975647,202.0716017,114.9308336
288,LinkedIn,18719,616494,29706,1152,34496,South America,25-34,11/4/23,11/26/23,Lead Generation,Bogotá,4.82%,4%,84%,3747.540728,5705.658468,9265.800805
289,Instagram,9775,751339,8281,181,5409,Europe,18-24,6/23/23,7/10/23,Lead Generation,Berlin,1.10%,2%,-45%,2617.941966,4171.580797,2985.477237
290,Twitter,19097,49943,45766,555,24652,Europe,55+,12/31/23,1/28/24,Lead Generation,Berlin,91.64%,1%,29%,6863.150074,8483.213745,3750.63618
291,LinkedIn,12260,164866,33249,779,76827,Europe,18-24,4/23/23,5/4/23,Lead Generation,London,20.17%,2%,527%,4524.872063,5684.04986,2051.078077
292,LinkedIn,17118,498151,23533,365,38286,Africa,18-24,7/8/23,8/4/23,Lead Generation,Cairo,4.72%,2%,124%,6806.483958,6535.876544,3775.639498
293,Facebook,12881,435085,22551,1200,10166,South America,25-34,1/1/24,1/10/24,Conversion,Lima,5.18%,5%,-21%,3338.978887,6053.08063,3488.940483
294,LinkedIn,9046,500054,39165,210,87514,Asia,45-54,4/25/23,5/1/23,Conversion,Shanghai,7.83%,1%,867%,2906.207054,2917.381427,3222.411519
295,TikTok,810,771188,36376,1421,68567,South America,18-24,8/12/23,9/2/23,Lead Generation,Lima,4.72%,4%,8365%,254.5251897,406.6717797,148.8030306
296,TikTok,19180,255878,3148,1066,71234,Africa,45-54,2/11/23,2/22/23,Conversion,Cairo,1.23%,34%,271%,8338.618516,9265.987707,1575.393778
297,TikTok,9448,671963,78,1774,47848,Europe,45-54,7/29/23,8/1/23,Conversion,London,0.01%,2274%,406%,2470.664511,5096.085307,1881.250182
298,LinkedIn,3259,648489,36398,1903,78793,Europe,55+,2/28/23,3/4/23,Awareness,Paris,5.61%,5%,2318%,912.9570694,1606.271745,739.7711853
299,Instagram,3259,737759,5899,208,63886,Asia,35-44,4/11/23,4/24/23,Awareness,Seoul,0.80%,4%,1860%,788.3403935,1075.854407,1394.8052
300,Instagram,2307,887435,41863,252,22044,Asia,45-54,2/15/23,2/20/23,Conversion,Seoul,4.72%,1%,856%,899.0365817,816.6956434,591.2677749
301,LinkedIn,3978,762330,24751,1674,82121,Africa,25-34,7/12/23,7/29/23,Lead Generation,Nairobi,3.25%,7%,1964%,1191.897591,1425.295962,1360.806446
302,Twitter,12430,549923,41858,1713,50696,Africa,35-44,9/20/23,10/14/23,Conversion,Cairo,7.61%,4%,308%,4139.345107,6469.202746,1821.452147
303,TikTok,14209,714149,27093,1099,29143,Europe,18-24,10/25/23,11/17/23,Awareness,Paris,3.79%,4%,105%,3344.647153,7326.631218,3537.721629
304,Facebook,13230,118108,30152,1739,43103,Asia,18-24,3/30/23,4/7/23,Awareness,Seoul,25.53%,6%,226%,4582.930836,6743.669315,1903.399849
305,Facebook,10929,824208,36578,1955,76581,South America,18-24,9/29/23,10/12/23,Awareness,Buenos Aires,4.44%,5%,601%,2458.967611,5186.391389,3283.641
306,Twitter,992,919692,39114,1875,56928,North America,35-44,3/31/23,4/28/23,Lead Generation,Chicago,4.25%,5%,5639%,286.5638673,421.6013462,283.8347865
307,Twitter,14170,664518,2041,1449,10700,Asia,45-54,10/20/23,10/30/23,Conversion,Tokyo,0.31%,71%,-24%,3258.658791,4670.927733,6240.413475
308,Facebook,18957,758318,18803,824,5578,Europe,25-34,6/18/23,7/10/23,Awareness,Paris,2.48%,4%,-71%,4356.692461,9714.057698,4886.249841
309,Facebook,2339,160171,9318,1798,63804,South America,18-24,8/21/23,9/10/23,Conversion,Bogotá,5.82%,19%,2628%,764.3075226,899.2218151,675.4706623
310,Instagram,18020,204979,22432,1764,24422,Asia,45-54,10/25/23,11/11/23,Conversion,Shanghai,10.94%,8%,36%,7415.071415,8577.062974,2027.86561
311,Twitter,15493,800885,4643,1059,41931,Europe,18-24,11/10/23,12/7/23,Conversion,Madrid,0.58%,23%,171%,5183.012176,7343.972275,2966.015549
312,TikTok,5784,342293,13997,663,47293,South America,35-44,11/5/23,11/8/23,Awareness,São Paulo,4.09%,5%,718%,1204.092944,2843.134108,1736.772948
313,Facebook,2431,784853,43185,1376,9412,Africa,25-34,1/15/23,2/13/23,Awareness,Lagos,5.50%,3%,287%,724.4883202,1417.650676,288.8610038
314,Instagram,4385,464830,3864,1220,60628,Europe,35-44,2/3/23,2/8/23,Awareness,Paris,0.83%,32%,1283%,1984.742321,1925.998109,474.2595703
315,Facebook,4334,116407,30952,1575,13492,North America,25-34,10/20/23,11/7/23,Awareness,Toronto,26.59%,5%,211%,970.909621,1654.044558,1709.045821
316,Twitter,4646,738888,42108,1216,8797,Asia,35-44,3/26/23,4/24/23,Conversion,Mumbai,5.70%,3%,89%,1886.198831,2021.682631,738.1185384
317,LinkedIn,1402,793197,17857,1512,31215,Europe,35-44,9/23/23,10/14/23,Awareness,Berlin,2.25%,8%,2126%,326.3745433,546.9210723,528.7043843
318,LinkedIn,13285,823548,44049,831,1527,North America,35-44,5/16/23,6/6/23,Conversion,Toronto,5.35%,2%,-89%,6204.224701,5111.370569,1969.40473
319,TikTok,9445,242062,1948,1390,11787,Asia,45-54,9/6/23,9/14/23,Conversion,Tokyo,0.80%,71%,25%,3642.109155,2945.699886,2857.190958
320,Twitter,6606,911664,35512,1431,11096,North America,45-54,10/20/23,11/1/23,Lead Generation,Los Angeles,3.90%,4%,68%,1975.014312,3007.687784,1623.297903
321,LinkedIn,8540,885887,35258,874,91124,South America,55+,10/29/23,11/23/23,Conversion,Bogotá,3.98%,2%,967%,4014.413571,4884.482202,-358.895773
322,LinkedIn,2997,550658,1617,1312,77595,Africa,35-44,6/6/23,7/6/23,Conversion,Cairo,0.29%,81%,2489%,1191.04429,1332.642958,473.3127516
323,Instagram,8684,741542,9735,155,69024,North America,25-34,7/18/23,8/9/23,Awareness,Chicago,1.31%,2%,695%,3304.7143,3340.33756,2038.94814
324,Instagram,18893,208316,24235,674,29582,South America,35-44,2/26/23,2/27/23,Awareness,Lima,11.63%,3%,57%,7524.402953,7298.526578,4070.070469
325,TikTok,1843,650652,38451,1336,16863,South America,35-44,1/30/23,2/12/23,Awareness,Lima,5.91%,3%,815%,527.323441,754.0995648,561.5769942
326,TikTok,12613,729627,10155,543,52361,Europe,45-54,3/12/23,3/30/23,Conversion,London,1.39%,5%,315%,5598.060648,4986.419915,2028.519437
327,Twitter,4306,429709,48366,812,26014,Asia,35-44,1/30/23,2/24/23,Conversion,Mumbai,11.26%,2%,504%,1272.408274,1989.03181,1044.559917
328,Facebook,13718,492368,34027,608,16895,Asia,45-54,5/9/23,5/19/23,Conversion,Mumbai,6.91%,2%,23%,3938.695894,4947.312706,4831.9914
329,Twitter,1625,524771,13183,1667,90954,Asia,55+,6/20/23,7/1/23,Lead Generation,Shanghai,2.51%,13%,5497%,641.31429,930.3817438,53.30396621
330,Facebook,11115,696752,2560,1103,93378,South America,35-44,8/25/23,8/28/23,Conversion,Lima,0.37%,43%,740%,4927.426679,4636.400571,1551.17275
331,LinkedIn,17817,327464,44159,725,46627,Asia,18-24,7/21/23,8/10/23,Lead Generation,Shanghai,13.49%,2%,162%,8859.27249,8124.6573,833.0702104
332,TikTok,17096,264273,36055,1422,50684,North America,25-34,9/21/23,10/17/23,Conversion,Chicago,13.64%,4%,196%,4165.313833,7392.854071,5537.832096
333,TikTok,11148,179385,617,1149,25053,South America,45-54,3/28/23,4/20/23,Conversion,São Paulo,0.34%,186%,125%,3480.438987,6487.990008,1179.571005
334,LinkedIn,16816,970466,7915,113,979,South America,45-54,1/29/23,2/24/23,Lead Generation,São Paulo,0.82%,1%,-94%,4334.474859,7461.616179,5019.908963
335,TikTok,11898,78169,8221,784,9604,North America,55+,11/2/23,11/24/23,Conversion,Chicago,10.52%,10%,-19%,3490.18304,4498.028841,3909.788119
336,LinkedIn,15145,63850,44121,1328,58049,South America,55+,8/24/23,8/30/23,Awareness,Bogotá,69.10%,3%,283%,6792.986205,5898.819699,2453.194097
337,Twitter,18674,515372,24292,43,3680,Asia,25-34,11/17/23,12/7/23,Lead Generation,Shanghai,4.71%,0%,-80%,8450.550696,9617.939658,605.5096463
338,Facebook,2025,910929,44009,414,19588,North America,35-44,7/6/23,7/11/23,Conversion,Los Angeles,4.83%,1%,867%,912.1805113,832.0303296,280.7891592
339,TikTok,16156,43876,47742,1510,1363,North America,45-54,3/25/23,4/8/23,Conversion,New York,108.81%,3%,-92%,6855.497019,5577.464608,3723.038373
